Line Number,Location path code,selection,source,word,menu,menu_ff,full_pattern,menu_pattern,button,menu_title,is_menu,menu_multiplicity,multiplicity,Training/ Spontaneous,Utterance: Single word or phrase,Type of Sign,is_match,match_type
103,,SUNFLOWER SEEDS,FINAL,Sunflower seeds,,TO PLAY,LB,L,B,TREATS,false,,1,Trained,Phrase,Photo,true,UNIQUE_MATCH
104,,MANGO,FINAL,Mango,,TO PLAY,LE,L,E,TREATS,false,,1,Trained,Single Word,Photo,true,UNIQUE_MATCH
105,,SUNFLOWER SEEDS,FINAL,Sunflower seeds,,TO PLAY,LB,L,B,TREATS,false,,1,Trained,Phrase,Photo,true,UNIQUE_MATCH
106,,SUNFLOWER SEEDS,FINAL,Sunflower seeds,,TO PLAY,LB,L,B,TREATS,false,,1,Trained,Phrase,Photo,true,UNIQUE_MATCH
107,,SUNFLOWER SEEDS,FINAL,Sunflower seeds,,TO PLAY,LB,L,B,TREATS,false,,1,Trained,Phrase,Photo,true,UNIQUE_MATCH
108,,SUNFLOWER SEEDS,FINAL,Sunflower seeds,,TO PLAY,LB,L,B,TREATS,false,,1,Trained,Phrase,Photo,true,UNIQUE_MATCH
109,,SUNFLOWER SEEDS,FINAL,Sunflower seeds,,TO PLAY,LB,L,B,TREATS,false,,1,Trained,Phrase,Photo,true,UNIQUE_MATCH
110,,SUNFLOWER SEEDS,FINAL,Sunflower seeds,,TO PLAY,LB,L,B,TREATS,false,,1,Trained,Phrase,Photo,true,UNIQUE_MATCH
111,,SUNFLOWER SEEDS,FINAL,Sunflower seeds,,TO PLAY,LB,L,B,TREATS,false,,1,Trained,Phrase,Photo,true,UNIQUE_MATCH
112,,SUNFLOWER SEEDS,FINAL,Sunflower seeds,,TO PLAY,LB,L,B,TREATS,false,,1,Trained,Phrase,Photo,true,UNIQUE_MATCH
113,,SUNFLOWER SEEDS,FINAL,Sunflower seeds,,TO PLAY,LB,L,B,TREATS,false,,1,Trained,Phrase,Photo,true,UNIQUE_MATCH
115,,EXPERIENCE,MENU,,EXPERIENCE,EXPERIENCE,C,"",C,MAIN MENU,true,1,1,Trained,Single Word,Drawing,true,UNIQUE_MATCH
116,,SEE,FINAL,See,,EXPERIENCE,CE,C,E,EXPERIENCE,false,,1,Trained,Single Word,Abstract Sign,true,UNIQUE_MATCH
117,,SEE,FINAL,See,,EXPERIENCE,CE,C,E,EXPERIENCE,false,,1,Trained,Single Word,Abstract Sign,true,UNIQUE_MATCH
120,,BIRD FRIENDS,MENU,,BIRD FRIENDS,BIRD FRIENDS,BH,B,H,SAY HELLO TO,true,1,1,Trained,Phrase,Photo,true,UNIQUE_MATCH
121,,OUTSIDE WALK,FINAL,Outside walk,,BIRD FRIENDS,,,,,,,,,,,false,
122,,OUTSIDE WALK,FINAL,Outside walk,,BIRD FRIENDS,,,,,,,,,,,false,
123,,OUTSIDE WALK,FINAL,Outside walk,,BIRD FRIENDS,,,,,,,,,,,false,
126,,MOM,FINAL,Mom,,BIRD FRIENDS,,,,,,,,,,,false,
127,,MOM,FINAL,Mom,,BIRD FRIENDS,,,,,,,,,,,false,
128,,OUTSIDE WALK,FINAL,Outside walk,,BIRD FRIENDS,,,,,,,,,,,false,
129,,HAPPY,FINAL,Happy,,BIRD FRIENDS,EB,E,B,FEELING,false,,1,Trained,Single Word,Drawing,true,UNIQUE_MATCH
130,,HAPPY,FINAL,Happy,,BIRD FRIENDS,EB,E,B,FEELING,false,,1,Trained,Single Word,Drawing,true,UNIQUE_MATCH
131,,HAPPY,FINAL,Happy,,BIRD FRIENDS,EB,E,B,FEELING,false,,1,Trained,Single Word,Drawing,true,UNIQUE_MATCH
138,,PLACES,MENU,,PLACES,PLACES,I,"",I,MAIN MENU,true,1,1,Trained,Single Word,Photo,true,UNIQUE_MATCH
