Line Number,Location path code,selection,source,word,menu,menu_ff
257,,TEMP AND WEATHER,MENU,,TEMP AND WEATHER,TEMP AND WEATHER
258,,HOT,MENU,,HOT,HOT
259,,I FEEL HOT,FINAL,I feel hot,,HOT
260,,HOT INSIDE,FINAL,Hot inside,,HOT
263,,I WANT TO FEEL HOT,FINAL,I want to feel hot,,HOT
264,,I FEEL HOT,FINAL,I feel hot,,HOT
282,,HOT,MENU,,HOT,HOT
283,,COOL,MENU,,COOL,COOL
284,,COOL,MENU,,COOL,COOL
285,,WARM,MENU,,WARM,WARM
286,,COOL,MENU,,COOL,COOL
319,,HOT,MENU,,HOT,HOT
320,,COLD,MENU,,COLD,COLD
321,,COLD,MENU,,COLD,COLD
322,,COLD,MENU,,COLD,COLD
334,,HOT,MENU,,HOT,HOT
335,,COOL,MENU,,COOL,COOL
336,,COLD,MENU,,COLD,COLD
337,,WARM,MENU,,WARM,WARM
338,,COOL,MENU,,COOL,COOL
339,,COLD,MENU,,COLD,COLD
340,,HOT,MENU,,HOT,HOT
341,,COOL,MENU,,COOL,COOL
342,,WARM,MENU,,WARM,WARM
343,,HOT,MENU,,HOT,HOT
344,,WARM,MENU,,WARM,WARM
345,,WARM,MENU,,WARM,WARM
346,,WARM INSIDE,FINAL,Warm inside,,WARM
347,,HOT,MENU,,HOT,HOT
348,,I WANT TO FEEL HOT,FINAL,I want to feel hot,,HOT
349,,I FEEL HOT,FINAL,I feel hot,,HOT
356,,COOL,MENU,,COOL,COOL
357,,I FEEL COOL,FINAL,I feel cool,,COOL
358,,I FEEL COOL,FINAL,I feel cool,,COOL
359,,I WANT TO FEEL COOL,FINAL,I want to feel cool,,COOL
360,,I FEEL COOL,FINAL,I feel cool,,COOL
361,,I WANT TO FEEL COOL,FINAL,I want to feel cool,,COOL
362,,HOT,MENU,,HOT,HOT
363,,I FEEL HOT,FINAL,I feel hot,,HOT
364,,I WANT TO FEEL HOT,FINAL,I want to feel hot,,HOT
365,,I FEEL HOT,FINAL,I feel hot,,HOT
366,,I FEEL HOT,FINAL,I feel hot,,HOT
367,,I FEEL HOT,FINAL,I feel hot,,HOT
368,,COLD,FINAL,Cold,,HOT
369,,COOL,FINAL,Cool,,HOT
370,,I FEEL COOL,FINAL,I feel cool,,HOT
371,,I WANT TO FEEL COOL,FINAL,I want to feel cool,,HOT
372,,I WANT TO FEEL COOL,FINAL,I want to feel cool,,HOT
373,,HOT,MENU,,HOT,HOT
374,,I FEEL HOT,FINAL,I feel hot,,HOT
375,,TALK ABOUT,FINAL,Talk about,,HOT
376,,TEMP AND WEATHER,FINAL,Temp and weather,,HOT
377,,COOL,MENU,,COOL,COOL
378,,I FEEL COOL,FINAL,I feel cool,,COOL
379,,I FEEL COOL,FINAL,I feel cool,,COOL
380,,COOL INSIDE,FINAL,Cool inside,,COOL
381,,I WANT TO FEEL COOL,FINAL,I want to feel cool,,COOL
382,,HOT,MENU,,HOT,HOT
383,,I FEEL HOT,FINAL,I feel hot,,HOT
384,,HOT,MENU,,HOT,HOT
385,,I FEEL HOT,FINAL,I feel hot,,HOT
386,,COOL,MENU,,COOL,COOL
387,,I FEEL COOL,FINAL,I feel cool,,COOL
388,,I WANT TO FEEL COOL,FINAL,I want to feel cool,,COOL
405,,COLD WIND AIR CONDITIONER,FINAL,Cold wind air conditioner,,COOL
406,,COLD WIND AIR CONDITIONER,FINAL,Cold wind air conditioner,,COOL
409,,PLACES,MENU,,PLACES,PLACES
410,,ISABELLE'S HOUSE,FINAL,Isabelle's House,,PLACES
411,,TALK ABOUT,MENU,,TALK ABOUT,TALK ABOUT
412,,FANTASY,MENU,,FANTASY,FANTASY
413,,UNICORN,FINAL,Unicorn,,FANTASY
414,,DRAGON,FINAL,Dragon,,FANTASY
417,,TO EAT,MENU,,TO EAT,TO EAT
418,,MOM COOK DINNER,FINAL,Mom cook dinner,,TO EAT
420,,A TOAST,FINAL,A toast,,TO EAT
421,,A PANCAKE,FINAL,A pancake,,TO EAT
422,,TALK ABOUT,MENU,,TALK ABOUT,TALK ABOUT
423,,FANTASY,MENU,,FANTASY,FANTASY
424,,TALK ABOUT,MENU,,TALK ABOUT,TALK ABOUT
425,,TEMP AND WEATHER,MENU,,TEMP AND WEATHER,TEMP AND WEATHER
426,,HOT,MENU,,HOT,HOT
427,,TALK ABOUT,MENU,,TALK ABOUT,TALK ABOUT
428,,TEMP AND WEATHER,MENU,,TEMP AND WEATHER,TEMP AND WEATHER
429,,HOT,MENU,,HOT,HOT
430,,I FEEL HOT,FINAL,I feel hot,,HOT
431,,I FEEL HOT,FINAL,I feel hot,,HOT
432,,I FEEL HOT,FINAL,I feel hot,,HOT
433,,I FEEL HOT,FINAL,I feel hot,,HOT
434,,I FEEL HOT,FINAL,I feel hot,,HOT
435,,TALK ABOUT,MENU,,TALK ABOUT,TALK ABOUT
436,,TEMP AND WEATHER,MENU,,TEMP AND WEATHER,TEMP AND WEATHER
437,,HOT,MENU,,HOT,HOT
438,,I FEEL HOT,FINAL,I feel hot,,HOT
