row_number,selection,source,word,menu,menu_ff
87,SUNFLOWER SEEDS,FINAL,Sunflower seeds,,To Play
88,SUNFLOWER SEEDS,FINAL,Sunflower seeds,,To Play
89,SUNFLOWER SEEDS,FINAL,Sunflower seeds,,To Play
90,SUNFLOWER SEEDS,FINAL,Sunflower seeds,,To Play
91,SEED BALL,FINAL,Seed ball,,To Play
92,SUNFLOWER SEEDS,FINAL,Sunflower seeds,,To Play
93,MANGO,FINAL,Mango,,To Play
94,SUNFLOWER SEEDS,FINAL,Sunflower seeds,,To Play
95,SUNFLOWER SEEDS,FINAL,Sunflower seeds,,To Play
96,SUNFLOWER SEEDS,FINAL,Sunflower seeds,,To Play
97,SUNFLOWER SEEDS,FINAL,Sunflower seeds,,To Play
98,SUNFLOWER SEEDS,FINAL,Sunflower seeds,,To Play
99,SUNFLOWER SEEDS,FINAL,Sunflower seeds,,To Play
100,SUNFLOWER SEEDS,FINAL,Sunflower seeds,,To Play
101,SUNFLOWER SEEDS,FINAL,Sunflower seeds,,To Play
102,SUNFLOWER SEEDS,FINAL,Sunflower seeds,,To Play
103,EXPERIENCE,MENU,,Experience,Experience
104,SEE,FINAL,See,,Experience
105,SEE,FINAL,See,,Experience
106,BIRD FRIENDS,MENU,,Bird friends,Bird friends
107,OUTSIDE WALK,FINAL,Outside walk,,Bird friends
108,OUTSIDE WALK,FINAL,Outside walk,,Bird friends
109,OUTSIDE WALK,FINAL,Outside walk,,Bird friends
110,MOM,FINAL,Mom,,Bird friends
111,MOM,FINAL,Mom,,Bird friends
112,OUTSIDE WALK,FINAL,Outside walk,,Bird friends
113,HAPPY,FINAL,Happy,,Bird friends
114,HAPPY,FINAL,Happy,,Bird friends
115,HAPPY,FINAL,Happy,,Bird friends
116,PLACES,MENU,,Places,Places
117,EXPERIENCE,MENU,,Experience,Experience
118,TOUCH,FINAL,Touch,,Experience
119,TOUCH,FINAL,Touch,,Experience
120,TRACING,FINAL,Tracing,,Experience
121,EXPERIENCE,MENU,,Experience,Experience
122,MOM,FINAL,Mom,,Experience
123,SEE,FINAL,See,,Experience
124,SEE,FINAL,See,,Experience
125,MOM,FINAL,Mom,,Experience
126,SEE,FINAL,See,,Experience
127,TO PLAY,MENU,,To Play,To Play
128,TRACING,FINAL,Tracing,,To Play
129,WRITING,FINAL,Writing,,To Play
130,TO PLAY,MENU,,To play,To play
131,BOOK,MENU,,Book,Book
132,TOUCH AND FEEL,FINAL,Touch and feel,,Book
133,TOUCH AND FEEL,FINAL,Touch and feel,,Book
134,EXPERIENCE,MENU,,Experience,Experience
135,MOM,FINAL,Mom,,Experience
136,MOM,FINAL,Mom ,,Experience
137,TOUCH,FINAL,Touch,,Experience
138,TOUCH,FINAL,Touch,,Experience
139,BOOK,MENU,,Book,Book
140,TOUCH AND FEEL,FINAL,Touch and feel,,Book
141,READING BOOK,MENU,,Reading book,Reading book
142,SENTENCE BOOK,FINAL,Sentence book,,Reading book
143,TOUCH AND FEEL,FINAL,Touch and feel,,Reading book
144,THEME,MENU,,Theme,Theme
145,ANIMALS,MENU,,Animals,Animals
146,GAMES,MENU,,Games,Games
147,CARTOONS,MENU,,Cartoons,Cartoons
148,PEPPA PIG,FINAL,Peppa Pig,,Cartoons
149,PEPPA PIG,FINAL,Peppa Pig,,Cartoons
150,TALK ABOUT,MENU,,Talk about,Talk about
151,TEMP AND WEATHER,MENU,,Temp and weather,Temp and weather
152,HOT,MENU,,Hot,Hot
153,I FEEL HOT,FINAL,I feel hot,,Hot
154,I FEEL HOT,FINAL,I feel hot,,Hot
155,I WANT TO FEEL HOT,FINAL,I want to feel hot,,Hot
156,HOT INSIDE,FINAL,Hot inside,,Hot
157,HOT WIND BLOW DRYER,FINAL,Hot wind blow dryer,,Hot
