selection,iteration,is_menu,len
TO PLAY,iteration_2,true,1
TO PLAY,iteration_3,true,1
TO SAY HELLO TO,iteration_1,true,1
TO SAY HELLO TO,iteration_3,true,1
TO WATCH,iteration_1,true,1
TODAY,iteration_3,false,13
TOFU,iteration_2,false,1
TOFU,iteration_3,false,1
TOM AND JERRY,iteration_1,false,1
TOM AND JERRY,iteration_2,false,1
TOMORROW,iteration_3,false,1
TOUCH,iteration_2,false,1
TOUCH,iteration_3,false,1
TOUCH ,iteration_1,false,1
TOUCH AND FEEL,iteration_2,false,1
TOUCH AND FEEL,iteration_3,false,1
TOYS,iteration_2,false,1
TRACING,iteration_1,false,1
TRACING,iteration_2,false,2
TRACING,iteration_3,false,1
TRACING AND WRITING,iteration_3,true,1
TREAT,iteration_1,false,1
TREAT SYRINGE,iteration_3,false,1
TREATS,iteration_2,true,1
TREATS,iteration_3,true,1
TREES,iteration_3,false,1
TRUMPET,iteration_3,false,1
TUMMY,iteration_3,false,1
TURTLE,iteration_3,false,1
TYPE,iteration_3,true,1
TYPES OF OUCH,iteration_3,true,1
TYPING,iteration_2,false,1
TYPING,iteration_3,false,1
UNDERWATER ANIMALS,iteration_3,false,2
UNDERWATER ANIMALS,iteration_3,true,1
UNICORN,iteration_2,false,1
UNICORN,iteration_3,false,3
UNICORNS,iteration_2,false,1
UP HIGH,iteration_3,false,1
VIDEO CALL,iteration_3,false,1
VIOLIN,iteration_2,false,1
VIOLIN,iteration_3,false,1
VIVALDI,iteration_3,false,1
WALK,iteration_3,false,1
WANT,iteration_1,false,2
WANT,iteration_3,false,5
WARM,iteration_2,true,1
WARM,iteration_3,true,2
WARM CLOTHES,iteration_3,false,1
WARM INSIDE,iteration_2,false,1
WARM INSIDE,iteration_3,false,2
WARM OUTSIDE,iteration_2,false,1
WARM OUTSIDE,iteration_3,false,4
WATER,iteration_1,false,1
WATER,iteration_2,false,1
WATER,iteration_3,false,1
WHAT IS IT?,iteration_3,false,1
WHAT IS THAT?,iteration_3,false,1
WHAT TYPE OF OUCH?,iteration_3,false,1
WHEN?,iteration_3,false,1
WHERE ARE YOU GOING?,iteration_3,false,1
WHERE IS SOMEONE?,iteration_3,false,1
WHICH ONE?,iteration_2,false,1
WHITE,iteration_3,false,1
WHO IS THAT?,iteration_3,false,1
WHY?,iteration_3,false,1
WIND,iteration_2,false,1
WIND,iteration_3,false,2
WING,iteration_3,false,1
WINTER,iteration_2,false,1
WINTER,iteration_3,false,2
WINTER,iteration_3,true,1
WINTER CARTOON,iteration_3,false,1
WINTER MUSIC,iteration_3,false,1
WITCH,iteration_3,false,1
WRITE WORDS,iteration_3,false,1
WRITING,iteration_1,false,1
WRITING,iteration_2,false,1
YANNI,iteration_3,false,1
YELLOW,iteration_3,false,1
YES,iteration_1,false,1
YES,iteration_2,false,1
YES,iteration_3,false,1
YES AND NO,iteration_2,true,1
YES AND NO,iteration_3,true,1
YESTERDAY,iteration_3,false,1
YUCK BUG,iteration_3,false,1
YUM,iteration_2,false,1
ZEBRA,iteration_3,false,1
