Line Number,Location path code,selection,source,word,menu,menu_ff
2830,,DOWN LOW,FINAL,Down low,,FIX PLEASE
2831,,BLUE,FINAL,Blue,,FIX PLEASE
2832,,BROWN,FINAL,Brown,,FIX PLEASE
2833,,BLUE,FINAL,Blue,,FIX PLEASE
2834,,BLUE,FINAL,Blue,,FIX PLEASE
2835,,DOWN LOW,FINAL,Down low,,FIX PLEASE
2836,,DOWN LOW,FINAL,Down low,,FIX PLEASE
2837,,DOWN LOW,FINAL,Down low,,FIX PLEASE
2838,,DOWN LOW,FINAL,Down low,,FIX PLEASE
2839,,OUTSIDE,FINAL,Outside,,FIX PLEASE
2840,,TABLET,FINAL,Tablet,,FIX PLEASE
2841,,BOOK,FINAL,Book,,FIX PLEASE
2842,,TALK ABOUT,FINAL,Talk about,,FIX PLEASE
2843,,TALK ABOUT,FINAL,Talk about,,FIX PLEASE
2844,,LOOK AT ART,FINAL,Look at art,,FIX PLEASE
2845,,TALK ABOUT,FINAL,Talk about,,FIX PLEASE
2846,,LOOK AT ART,FINAL,Look at art,,FIX PLEASE
2847,,GAMES,FINAL,Games,,FIX PLEASE
2848,,TALK ABOUT,FINAL,Talk about,,FIX PLEASE
2849,,TALK ABOUT,FINAL,Talk about,,FIX PLEASE
2850,,BOOK,FINAL,Book,,FIX PLEASE
2851,,SQUIRRELS,FINAL,Squirrels,,FIX PLEASE
2852,,RACOONS,FINAL,Racoons,,FIX PLEASE
2853,,BOOK,FINAL,Book,,FIX PLEASE
2854,,IGUANA,FINAL,Iguana,,FIX PLEASE
2855,,RABBIT,FINAL,Rabbit,,FIX PLEASE
2856,,RABBIT,FINAL,Rabbit,,FIX PLEASE
2857,,LIKE,FINAL,Like,,FIX PLEASE
2858,,TALK ABOUT,FINAL,Talk about,,FIX PLEASE
2859,,LOOK AT ART,FINAL,Look at art,,FIX PLEASE
2860,,SNUGGLE,FINAL,Snuggle,,FIX PLEASE
