Line Number,Location path code,L1,L2,L3,L4,L5,Category,Utterance: Single word or phrase,Type of Sign,Training/ Spontaneous
207,ADBFL,A        Talk about,AD   Seasonal,ADB Seasonal,ADBF Winter,ADBFL Card games,Socio-Cognitive,Phrase,Drawing,Trained - Repeated
208,ADBFM,A        Talk about,AD   Seasonal,ADB Seasonal,ADBF Winter,ADBFM Snuggle,Action,Single Word,Drawing,Trained - Repeated
209,ADBFN,A        Talk about,AD   Seasonal,ADB Seasonal,ADBF Winter,ADBFN Past,Space-Temporal,Single Word,Abstract Sign,Trained - Repeated
210,ADBFO,A        Talk about,AD   Seasonal,ADB Seasonal,ADBF Winter,ADBFO Today,Space-Temporal,Single Word,Drawing,Trained - Repeated
211,ADBFP,A        Talk about,AD   Seasonal,ADB Seasonal,ADBF Winter,ADBFP Future,Space-Temporal,Single Word,Abstract Sign,Trained - Repeated
212,ADBFQ,A        Talk about,AD   Seasonal,ADB Seasonal,ADBF Winter,ADBFQ Like,Self/State,Single Word,Abstract Sign,Trained - Repeated
213,ADBFR,A        Talk about,AD   Seasonal,ADB Seasonal,ADBF Winter,ADBFR No like,Self/State,Phrase,Abstract Sign,Trained - Repeated
214,ADC,A        Talk about,AD   Seasonal,ADC Holidays,,,Navigation,Single Word,Photo,Trained - Repeated
215,ADCA,A        Talk about,AD   Seasonal,ADC Holidays,ADCA Back,,Navigation,Single Word,Abstract Sign,Trained - Repeated
216,ADCB,A        Talk about,AD   Seasonal,ADC Holidays,ADCB Easter,,Navigation,Single Word,Photo,Trained
217,ADCBA,A        Talk about,AD   Seasonal,ADC Holidays,ADCB Easter,ADCBA Back,Navigation,Single Word,Abstract Sign,Trained - Repeated
218,ADCBB,A        Talk about,AD   Seasonal,ADC Holidays,ADCB Easter,ADCBB,,,,
219,ADCBC,A        Talk about,AD   Seasonal,ADC Holidays,ADCB Easter,ADCBC Easter bunny,Socio-Cognitive,Single Word,Drawing,Trained
220,ADCBD,A        Talk about,AD   Seasonal,ADC Holidays,ADCB Easter,ADCBD Easter egg,Socio-Cognitive,Phrase,Drawing,Trained
221,ADCBE,A        Talk about,AD   Seasonal,ADC Holidays,ADCB Easter,ADCBE Easter basket,Socio-Cognitive,Phrase,Photo,Trained
222,ADCBF,A        Talk about,AD   Seasonal,ADC Holidays,ADCB Easter,ADCBF Easter cartoons,Resources,Phrase,Photo,Generalized
223,ADCBG,A        Talk about,AD   Seasonal,ADC Holidays,ADCB Easter,ADCBG Easter music,Resources,Phrase,Drawing,Generalized
224,ADCBH,A        Talk about,AD   Seasonal,ADC Holidays,ADCB Easter,ADCBH Craft,Socio-Cognitive,Single Word,Drawing,Trained - Repeated
225,ADCBI,A        Talk about,AD   Seasonal,ADC Holidays,ADCB Easter,ADCBI Book,Socio-Cognitive,Single Word,Drawing,Trained - Repeated
226,ADCBJ,A        Talk about,AD   Seasonal,ADC Holidays,ADCB Easter,ADCBJ Game,Socio-Cognitive,Single Word,Photo,Trained - Repeated
227,ADCBK,A        Talk about,AD   Seasonal,ADC Holidays,ADCB Easter,ADCBK Look at art,Socio-Cognitive,Phrase,Drawing,Trained - Repeated
228,ADCBL,A        Talk about,AD   Seasonal,ADC Holidays,ADCB Easter,ADCBL Warm outside,Space-Temporal,Phrase,Photo,Trained - Repeated
229,ADCBM,A        Talk about,AD   Seasonal,ADC Holidays,ADCB Easter,ADCBM Cool outside,Space-Temporal,Phrase,Photo,Trained - Repeated
230,ADCBN,A        Talk about,AD   Seasonal,ADC Holidays,ADCB Easter,ADCBN Past,Space-Temporal,Single Word,Abstract Sign,Trained - Repeated
231,ADCBO,A        Talk about,AD   Seasonal,ADC Holidays,ADCB Easter,ADCBO Today,Space-Temporal,Single Word,Drawing,Trained - Repeated
232,ADCBP,A        Talk about,AD   Seasonal,ADC Holidays,ADCB Easter,ADCBP Future,Space-Temporal,Single Word,Abstract Sign,Trained - Repeated
233,ADCBQ,A        Talk about,AD   Seasonal,ADC Holidays,ADCB Easter,ADCBQ Like,Self/State,Single Word,Abstract Sign,Trained - Repeated
234,ADCBR,A        Talk about,AD   Seasonal,ADC Holidays,ADCB Easter,ADCBR No like,Self/State,Phrase,Abstract Sign,Trained - Repeated
235,ADCC,A        Talk about,AD   Seasonal,ADC Holidays,ADCC,,,,,
236,ADCD,A        Talk about,AD   Seasonal,ADC Holidays,ADCD Halloween,,Navigation,Single Word,Photo,Trained - Repeated
237,ADCDA,A        Talk about,AD   Seasonal,ADC Holidays,ADCD Halloween,ADCDA Back,Navigation,Single Word,Abstract Sign,Trained - Repeated
238,ADCDB,A        Talk about,AD   Seasonal,ADC Holidays,ADCD Halloween,ADCDB Pumpkin,Socio-Cognitive,Single Word,Photo,Trained - Repeated
239,ADCDC,A        Talk about,AD   Seasonal,ADC Holidays,ADCD Halloween,ADCDC Ghost,Socio-Cognitive,Single Word,Drawing,Trained
240,ADCDD,A        Talk about,AD   Seasonal,ADC Holidays,ADCD Halloween,ADCDD,,,,
241,ADCDE,A        Talk about,AD   Seasonal,ADC Holidays,ADCD Halloween,ADCDE Witch,Socio-Cognitive,Single Word,Drawing,Trained
242,ADCDF,A        Talk about,AD   Seasonal,ADC Holidays,ADCD Halloween,ADCDF Monster,Socio-Cognitive,Single Word,Drawing,Trained
243,ADCDG,A        Talk about,AD   Seasonal,ADC Holidays,ADCD Halloween,ADCDG Black cat,Socio-Cognitive,Phrase,Photo,Trained
244,ADCDH,A        Talk about,AD   Seasonal,ADC Holidays,ADCD Halloween,ADCDH Haunted House,Socio-Cognitive,Phrase,Photo,Trained
245,ADCDI,A        Talk about,AD   Seasonal,ADC Holidays,ADCD Halloween,ADCDI Book,Socio-Cognitive,Single Word,Drawing,Trained - Repeated
246,ADCDJ,A        Talk about,AD   Seasonal,ADC Holidays,ADCD Halloween,ADCDJ Card games,Socio-Cognitive,Phrase,Drawing,Trained - Repeated
247,ADCDK,A        Talk about,AD   Seasonal,ADC Holidays,ADCD Halloween,ADCDK Craft,Socio-Cognitive,Single Word,Drawing,Trained - Repeated
248,ADCDL,A        Talk about,AD   Seasonal,ADC Holidays,ADCD Halloween,ADCDL Halloween lights,Space-Temporal,Phrase,Photo,Trained
249,ADCDM,A        Talk about,AD   Seasonal,ADC Holidays,ADCD Halloween,ADCDM Halloween cartoons,Resources,Phrase,Photo,Generalized
250,ADCDN,A        Talk about,AD   Seasonal,ADC Holidays,ADCD Halloween,ADCDN Game,Socio-Cognitive,Single Word,Photo,Trained - Repeated
251,ADCDO,A        Talk about,AD   Seasonal,ADC Holidays,ADCD Halloween,ADCDO Alexa play Halloween Music,Resources,Phrase,Drawing,Generalized
252,ADCDP,A        Talk about,AD   Seasonal,ADC Holidays,ADCD Halloween,ADCDP Like,Self/State,Single Word,Abstract Sign,Trained - Repeated
253,ADCDQ,A        Talk about,AD   Seasonal,ADC Holidays,ADCD Halloween,ADCDQ No like,Self/State,Phrase,Abstract Sign,Trained - Repeated
254,ADCDR,A        Talk about,AD   Seasonal,ADC Holidays,ADCD Halloween,ADCDR Talk or Learn,Socio-Cognitive,Phrase,Abstract Sign,Generalized
255,ADCE,A        Talk about,AD   Seasonal,ADC Holidays,ADCE Christmas,,Navigation,Single Word,Drawing,Trained
256,ADCEA,A        Talk about,AD   Seasonal,ADC Holidays,ADCE Christmas,ADCEA Back,Navigation,Single Word,Abstract Sign,Trained - Repeated
257,ADCEB,A        Talk about,AD   Seasonal,ADC Holidays,ADCE Christmas,ADCEB Santa,Socio-Cognitive,Single Word,Drawing,Trained
258,ADCEC,A        Talk about,AD   Seasonal,ADC Holidays,ADCE Christmas,ADCEC Frosty,Socio-Cognitive,Single Word,Drawing,Trained
259,ADCED,A        Talk about,AD   Seasonal,ADC Holidays,ADCE Christmas,ADCED Christmas tree,Socio-Cognitive,Phrase,Photo,Trained
260,ADCEE,A        Talk about,AD   Seasonal,ADC Holidays,ADCE Christmas,ADCEE ,,,,
261,ADCEF,A        Talk about,AD   Seasonal,ADC Holidays,ADCE Christmas,ADCEF Presents,Socio-Cognitive,Single Word,Drawing,Trained
262,ADCEG,A        Talk about,AD   Seasonal,ADC Holidays,ADCE Christmas,ADCEG Christmas cartoons,Resources,Phrase,Photo,Generalized
263,ADCEH,A        Talk about,AD   Seasonal,ADC Holidays,ADCE Christmas,ADCEH Christmas music,Resources,Phrase,Drawing,Generalized
264,ADCEI,A        Talk about,AD   Seasonal,ADC Holidays,ADCE Christmas,ADCEI Craft,Socio-Cognitive,Single Word,Drawing,Trained - Repeated
265,ADCEJ,A        Talk about,AD   Seasonal,ADC Holidays,ADCE Christmas,ADCEJ Book,Socio-Cognitive,Single Word,Drawing,Trained - Repeated
266,ADCEK,A        Talk about,AD   Seasonal,ADC Holidays,ADCE Christmas,ADCEK Game,Socio-Cognitive,Single Word,Photo,Trained - Repeated
267,ADCEL,A        Talk about,AD   Seasonal,ADC Holidays,ADCE Christmas,ADCEL Card game,Socio-Cognitive,Phrase,Drawing,Trained - Repeated
268,ADCEM,A        Talk about,AD   Seasonal,ADC Holidays,ADCE Christmas,ADCEM Christmas lights,Space-Temporal,Phrase,Photo,Generalized
269,ADCEN,A        Talk about,AD   Seasonal,ADC Holidays,ADCE Christmas,ADCEN Past,Space-Temporal,Single Word,Abstract Sign,Trained - Repeated
270,ADCEO,A        Talk about,AD   Seasonal,ADC Holidays,ADCE Christmas,ADCEO Today,Space-Temporal,Single Word,Drawing,Trained - Repeated
271,ADCEP,A        Talk about,AD   Seasonal,ADC Holidays,ADCE Christmas,ADCEP Future,Space-Temporal,Single Word,Abstract Sign,Trained - Repeated
272,ADCEQ,A        Talk about,AD   Seasonal,ADC Holidays,ADCE Christmas,ADCEQ Like,Self/State,Single Word,Abstract Sign,Trained - Repeated
273,ADCER,A        Talk about,AD   Seasonal,ADC Holidays,ADCE Christmas,ADCER No Like,Self/State,Phrase,Abstract Sign,Trained - Repeated
274,AE,A        Talk about,AE   Space sky,,,,Navigation,Phrase,Photo,Trained
275,AEA,A        Talk about,AE   Space sky,AEA Back,,,Navigation,Single Word,Abstract Sign,Trained - Repeated
276,AEB,A        Talk about,AE   Space sky,AEB Sun far small,,,Socio-Cognitive,Phrase,Photo,Trained
277,AEC,A        Talk about,AE   Space sky,AEC Sun close big,,,Socio-Cognitive,Phrase,Photo,Trained
278,AED,A        Talk about,AE   Space sky,AED Moon far small,,,Socio-Cognitive,Phrase,Photo,Trained
279,AEE,A        Talk about,AE   Space sky,AEE,,,,,,
280,AEF,A        Talk about,AE   Space sky,AEF Moon close big,,,Socio-Cognitive,Phrase,Photo,Trained
281,AEG,A        Talk about,AE   Space sky,AEG Stars far small,,,Socio-Cognitive,Phrase,Photo,Untrained - Discovered
282,AEH,A        Talk about,AE   Space sky,AEH Stars close big,,,Socio-Cognitive,Phrase,Photo,Untrained - Discovered
283,AEI,A        Talk about,AE   Space sky,AEI Planets far small,,,Socio-Cognitive,Phrase,Photo,Untrained - Discovered
284,AEJ,A        Talk about,AE   Space sky,AEJ Planets close big,,,Socio-Cognitive,Phrase,Photo,Untrained - Discovered
285,AEK,A        Talk about,AE   Space sky,AEK What is it?,,,Socio-Cognitive,Phrase,Abstract Sign,Untrained - Discovered
286,AEL,A        Talk about,AE   Space sky,AEL Look at art,,,Socio-Cognitive,Phrase,Drawing,Trained - Repeated
287,AEM,A        Talk about,AE   Space sky,AEM Book,,,Socio-Cognitive,Single Word,Drawing,Trained - Repeated
288,AEN,A        Talk about,AE   Space sky,AEN Tablet game,,,Socio-Cognitive,Phrase,Drawing,Trained - Repeated
289,AF,A        Talk about,AF   Learn something New,,,,Socio-Cognitive,Phrase,Abstract Sign,Trained - Repeated
290,AG,A        Talk about,AG   Yes and No,,,,Navigation,Phrase,Abstract Sign,Trained
291,AGA,A        Talk about,AG   Yes and No,AGA Back,,,Navigation,Single Word,Abstract Sign,Trained - Repeated
292,AGB,A        Talk about,AG   Yes and No,AGB Yes,,,Affirmations,Single Word,Abstract Sign,Trained
293,AGC,A        Talk about,AG   Yes and No,AGC No,,,Affirmations,Single Word,Abstract Sign,Trained
294,AGD,A        Talk about,AG   Yes and No,AGD I'm not sure,,,Affirmations,Phrase,Abstract Sign,Trained
295,AGE,A        Talk about,AG   Yes and No,AGE Something Else,,,Affirmations,Phrase,Abstract Sign,Trained
296,AGF,A        Talk about,AG   Yes and No,AGF,,,,,,
297,AGG,A        Talk about,AG   Yes and No,AGG,,,,,,
298,AGH,A        Talk about,AG   Yes and No,AGH Like,,,Self/State,Single Word,Abstract Sign,Trained - Repeated
299,AGI,A        Talk about,AG   Yes and No,AGI No like,,,Self/State,Phrase,Abstract Sign,Trained - Repeated
300,AH,A        Talk about,AH   Temp and Weather,,,,Navigation,Phrase,Photo,Trained - Repeated
301,AHA,A        Talk about,AH   Temp and Weather,AHA Back,,,Navigation,Single Word,Abstract Sign,Trained - Repeated
302,AHB,A        Talk about,AH   Temp and Weather,AHB Hot,,,Navigation,Single Word,Abstract Sign,Trained - Repeated
303,AHBA,A        Talk about,AH   Temp and Weather,AHB Hot,AHBA Back,,Navigation,Single Word,Abstract Sign,Trained - Repeated
304,AHBB,A        Talk about,AH   Temp and Weather,AHB Hot,AHBB,,,,,
305,AHBC,A        Talk about,AH   Temp and Weather,AHB Hot,AHBC Hot outside,,Space-Temporal,Phrase,Photo,Untrained - Discovered
306,AHBD,A        Talk about,AH   Temp and Weather,AHB Hot,AHBD Hot inside,,Space-Temporal,Phrase,Drawing,Untrained - Discovered
307,AHBE,A        Talk about,AH   Temp and Weather,AHB Hot,AHBE Like,,Self/State,Single Word,Abstract Sign,Trained
308,AHBF,A        Talk about,AH   Temp and Weather,AHB Hot,AHBF No like,,Self/State,Phrase,Abstract Sign,Trained
309,AHC,A        Talk about,AH   Temp and Weather,AHC Warm,,,Navigation,Single Word,Abstract Sign,Trained
310,AHCA,A        Talk about,AH   Temp and Weather,AHC Warm,AHCA Back,,Navigation,Single Word,Abstract Sign,Trained - Repeated
311,AHCB,A        Talk about,AH   Temp and Weather,AHC Warm,AHCB Warm outside,,Space-Temporal,Phrase,Photo,Untrained - Discovered
312,AHCC,A        Talk about,AH   Temp and Weather,AHC Warm,AHCC,,,,,
313,AHCD,A        Talk about,AH   Temp and Weather,AHC Warm,AHCD Warm inside,,Space-Temporal,Phrase,Abstract Sign,Untrained - Discovered
314,AHD,A        Talk about,AH   Temp and Weather,AHD Cool,,,Space-Temporal,Single Word,Abstract Sign,Trained
315,AHE,A        Talk about,AH   Temp and Weather,AHE Cold,,,Space-Temporal,Single Word,Abstract Sign,Trained
316,AHF,A        Talk about,AH   Temp and Weather,AHF,,,,,,
317,AHG,A        Talk about,AH   Temp and Weather,AHG Day sun,,,Space-Temporal,Phrase,Photo,Trained - Repeated
318,AHH,A        Talk about,AH   Temp and Weather,AHH Lightning Thunder Cheese Game,,,Socio-Cognitive,Single Word,Photo,Trained - Repeated
319,AHI,A        Talk about,AH   Temp and Weather,AHI Rain,,,Space-Temporal,Single Word,Photo,Trained - Repeated
320,AHJ,A        Talk about,AH   Temp and Weather,AHJ Clouds,,,Space-Temporal,Single Word,Photo,Trained - Repeated
321,AHK,A        Talk about,AH   Temp and Weather,AHK Wind,,,Space-Temporal,Single Word,Photo,Trained - Repeated
322,AHL,A        Talk about,AH   Temp and Weather,AHL Night moon,,,Space-Temporal,Phrase,Photo,Trained - Repeated
323,AHM,A        Talk about,AH   Temp and Weather,AHM Like,,,Self/State,Single Word,Abstract Sign,Trained - Repeated
324,AHN,A        Talk about,AH   Temp and Weather,AHN plants,,,Socio-Cognitive,Single Word,Photo,Trained
325,AHO,A        Talk about,AH   Temp and Weather,AHO No like,,,Self/State,Phrase,Abstract Sign,Trained - Repeated
326,AI,A        Talk about,AI   Reading and Phonics,,,,Socio-Cognitive,Phrase,Photo,Trained
327,AJ,A        Talk about,AJ   Tell a story,,,,Socio-Cognitive,Phrase,Drawing,Trained
328,AK,A        Talk about,AK Type,,,,Navigation,Single Word,Photo,Trained
329,AKA,A        Talk about,AK Type,AKA Back,,,Navigation,Single Word,Abstract Sign,Trained - Repeated
330,AKB,A        Talk about,AK Type,"AKB ""A""",,,,,,
331,AKC,A        Talk about,AK Type,"AKC ""B""",,,,,,
332,AKD,A        Talk about,AK Type,"AKD ""E""",,,,,,
333,AKE,A        Talk about,AK Type,"AKE ""L""",,,,,,
334,AKF,A        Talk about,AK Type,"AKF ""T""",,,,,,
335,AKG,A        Talk about,AK Type,"AKG ""F""",,,,,,
336,AKH,A        Talk about,AK Type,"AKH ""P""",,,,,,
337,AKI,A        Talk about,AK Type,"AKI ""D""",,,,,,
338,AKJ,A        Talk about,AK Type,"AKJ ""S""",,,,,,
339,AKK,A        Talk about,AK Type,"AKK ""O""",,,,,,
340,AKL,A        Talk about,AK Type,"AKL ""M""",,,,,,
341,AKM,A        Talk about,AK Type,"AKM ""R""",,,,,,
342,AL,A        Talk about,AL Math,,,,Navigation,Single Word,Photo,Trained
343,ALA,A        Talk about,AL Math,ALA Back,,,,,,
344,ALB,A        Talk about,AL Math,ALB 0,,,,,,
345,ALC,A        Talk about,AL Math,ALC 1,,,,,,
346,ALD,A        Talk about,AL Math,ALD 2,,,,,,
347,ALE,A        Talk about,AL Math,ALE 3,,,,,,
348,ALF,A        Talk about,AL Math,ALF 4,,,,,,
349,ALG,A        Talk about,AL Math,ALG 5,,,,,,
350,ALH,A        Talk about,AL Math,ALH 6,,,,,,
351,ALI,A        Talk about,AL Math,ALI 7,,,,,,
352,ALJ,A        Talk about,AL Math,ALJ 8,,,,,,
353,B,B        Places,,,,,Navigation,Single Word,Photo,Trained
354,BA,B        Places,BA   Back,,,,Navigation,Single Word,Abstract Sign,Trained - Repeated
355,BB,B        Places,BB   ,,,,,,,
356,BC,B        Places,BC   Outside Walk,,,,Space-Temporal,Phrase,Photo,Trained - Repeated
357,BD,B        Places,BD   Isabelle's House,,,,Space-Temporal,Phrase,Photo,Trained
358,BE,B        Places,BE    Tillie's House,,,,Space-Temporal,Phrase,Photo,Trained
359,BF,B        Places,BF    Basket,,,,Space-Temporal,Single Word,Photo,Trained
360,BG,B        Places,BG   Playstand ,,,,Space-Temporal,Single Word,Photo,Trained
361,BH,B        Places,BH   Curtain,,,,Space-Temporal,Single Word,Photo,Trained
362,BI,B        Places,BI  Outside aviary,,,,Space-Temporal,Phrase,Photo,Trained - Repeated
363,BJ,B        Places,BJ  Golf cart ride,,,,Space-Temporal,Phrase,Photo,Trained - Repeated
364,BK,B        Places,BK  River aviary,,,,Space-Temporal,Phrase,Photo,Trained
365,BL,B        Places,BL   Tea room aviary,,,,Space-Temporal,Phrase,Photo,Trained
366,BM,B        Places,BM     Mom,,,,Family & Friends,Single Word,Photo,Trained - Repeated
367,BN,B        Places,BN     Ellie,,,,Family & Friends,Single Word,Photo,Trained - Repeated
368,BO,B        Places,BO     Isabelle,,,,Family & Friends,Single Word,Photo,Trained - Repeated
369,BP,B        Places,BP     Tillie,,,,Family & Friends,Single Word,Photo,Trained - Repeated
370,BQ,B        Places,BQ     Like,,,,Self/State,Single Word,Abstract Sign,Trained - Repeated
371,BR,B        Places,BR     No like,,,,Self/State,Phrase,Abstract Sign,Trained - Repeated
372,C,C         Experience,,,,,Navigation,Single Word,Drawing,Trained
373,CA,C         Experience,CA   Back,,,,Navigation,Single Word,Abstract Sign,Trained - Repeated
374,CB,C         Experience,CB   Mom,,,,Family & Friends,Single Word,Photo,Trained - Repeated
375,CC,C         Experience,CC   ,,,,,,,
376,CD,C         Experience,CD   Touch,,,,Action,Single Word,Abstract Sign,Trained
377,CE,C         Experience,CE    See,,,,Action,Single Word,Abstract Sign,Trained
378,CF,C         Experience,CF    Hear,,,,Action,Single Word,Abstract Sign,Trained
379,CG,C         Experience,CG  Ellie,,,,Family & Friends,Single Word,Photo,Trained - Repeated
380,CH,C         Experience,CH   Tillie,,,,Family & Friends,Single Word,Photo,Trained - Repeated
381,CI,C         Experience,CI     Isabelle,,,,Family & Friends,Single Word,Photo,Trained - Repeated
382,CJ,C         Experience,CJ     Read,,,,Socio-Cognitive,Single Word,Abstract Sign,Trained
383,CK,C         Experience,CK   Taste,,,,Action,Single Word,Drawing,Trained
384,CL,C         Experience,CL    Smell,,,,Action,Single Word,Photo,Trained
385,CM,C         Experience,CM  Love,,,,Self/State,Single Word,Drawing,Trained - Repeated
386,CN,C         Experience,CN  Happy,,,,Self/State,Single Word,Drawing,Trained - Repeated
387,CO,C         Experience,CO  Excited,,,,Self/State,Single Word,Drawing,Trained - Repeated
388,CP,C         Experience,CP  Sad,,,,Self/State,Single Word,Drawing,Trained - Repeated
389,CQ,C         Experience,CQ  Like,,,,Self/State,Single Word,Abstract Sign,Trained - Repeated
390,CR,C         Experience,CR  No like,,,,Self/State,Phrase,Abstract Sign,Trained - Repeated
391,D,D        To play,,,,,Navigation,Phrase,Drawing,Trained
392,DA,D        To play,DA  Back,,,,Navigation,Single Word,Abstract Sign,Trained - Repeated
393,DB,D        To play,DB   Snuggle,,,,Action,Single Word,Drawing,Trained
394,DC,D        To play,DC   Tracing and writing,,,,Navigation,Phrase,Photo,Trained - Repeated
395,DCA,D        To play,DC   Tracing and writing,DCA Back,,,Navigation,Single Word,Abstract Sign,Trained - Repeated
396,DCB,D        To play,DC   Tracing and writing,DCB Tracing,,,Socio-Cognitive,Single Word,Photo,Trained
397,DCC,D        To play,DC   Tracing and writing,DCC ,,,,,,
398,DCD,D        To play,DC   Tracing and writing,DCD Free writing practice,,,Socio-Cognitive,Phrase,Photo,Trained
399,DCE,D        To play,DC   Tracing and writing,DCE Letter practice,,,Socio-Cognitive,Phrase,Photo,Trained
400,DCF,D        To play,DC   Tracing and writing,DCF Draw what I see,,,Socio-Cognitive,Phrase,Photo,Trained
401,DCG,D        To play,DC   Tracing and writing,DCG Kindergarten lines,,,Socio-Cognitive,Phrase,Photo,Trained
402,DCH,D        To play,DC   Tracing and writing,DCH Write words,,,Socio-Cognitive,Phrase,Photo,Trained
403,DCI,D        To play,DC   Tracing and writing,DCI Spelling,,,Socio-Cognitive,Single Word,Photo,Trained
404,DD,D        To play,DD  ,,,,,,,
405,DE,D        To play,DE   Book,,,,Navigation,Single Word,Drawing,Trained - Repeated
406,DEA,D        To play,DE   Book,DEA Back,,,Navigation,Single Word,Abstract Sign,Trained - Repeated
407,DEB,D        To play,DE   Book,DEB Touch and Feel,,,Socio-Cognitive,Single Word,Photo,Trained
408,DEC,D        To play,DE   Book,DEC Pop-up,,,Socio-Cognitive,Single Word,Photo,Trained
409,DED,D        To play,DE   Book,DED Reading Book,,,Navigation,Phrase,Photo,Trained
410,DEDA,D        To play,DE   Book,DED Reading Book,DEDA Back,,Navigation,Single Word,Abstract Sign,Trained - Repeated
411,DEDB,D        To play,DE   Book,DED Reading Book,DEDB One Word,,Socio-Cognitive,Phrase,Photo,Trained
412,DEDC,D        To play,DE   Book,DED Reading Book,DEDC Sentence Book,,Socio-Cognitive,Phrase,Abstract Sign,Trained
413,DEE,D        To play,DE   Book,DEE,,,,,,
414,DEF,D        To play,DE   Book,DEF Theme,,,Navigation,Single Word,Drawing,Trained - Repeated
415,DEFA,D        To play,DE   Book,DEF Theme,DEFA Back,,Navigation,Single Word,Abstract Sign,Trained - Repeated
416,DEFB,D        To play,DE   Book,DEF Theme,DEFB Fantasy,,Navigation,Single Word,Drawing,Trained - Repeated
417,DEFBA,D        To play,DE   Book,DEF Theme,DEFB Fantasy,DEFBA Back,Navigation,Single Word,Abstract Sign,Trained - Repeated
418,DEFBB,D        To play,DE   Book,DEF Theme,DEFB Fantasy,DEFBB,,,,
419,DEFBC,D        To play,DE   Book,DEF Theme,DEFB Fantasy,DEFBC Unicorn,Socio-Cognitive,Single Word,Drawing,Trained - Repeated
420,DEFBD,D        To play,DE   Book,DEF Theme,DEFB Fantasy,DEFBD Dragon,Socio-Cognitive,Single Word,Drawing,Trained - Repeated
421,DEFBE,D        To play,DE   Book,DEF Theme,DEFB Fantasy,DEFBE Fairy,Socio-Cognitive,Single Word,Drawing,Trained - Repeated
422,DEFBF,D        To play,DE   Book,DEF Theme,DEFB Fantasy,DEFBF Mermaid,Socio-Cognitive,Single Word,Drawing,Trained - Repeated
423,DEFBG,D        To play,DE   Book,DEF Theme,DEFB Fantasy,DEFBG Elf,Socio-Cognitive,Single Word,Drawing,Trained - Repeated
424,DEFBH,D        To play,DE   Book,DEF Theme,DEFB Fantasy,DEFBH Gnome,Socio-Cognitive,Single Word,Drawing,Trained - Repeated
425,DEFC,D        To play,DE   Book,DEF Theme,DEFC Animals,,Navigation,Single Word,Drawing,Trained
426,DEFCA,D        To play,DE   Book,DEF Theme,DEFC Animals,DEFCA Back,Navigation,Single Word,Abstract Sign,Trained - Repeated
427,DEFCB,D        To play,DE   Book,DEF Theme,DEFC Animals,DEFCB Baby Animals,Socio-Cognitive,Phrase,Photo,Trained - Repeated
428,DEFCC,D        To play,DE   Book,DEF Theme,DEFC Animals,DEFCC,,,,
429,DEFCD,D        To play,DE   Book,DEF Theme,DEFC Animals,DEFCD Jungle Animals,Socio-Cognitive,Phrase,Photo,Trained - Repeated
430,DEFCE,D        To play,DE   Book,DEF Theme,DEFC Animals,DEFCE Underwater Animals,Socio-Cognitive,Phrase,Drawing,Trained - Repeated
431,DEFCF,D        To play,DE   Book,DEF Theme,DEFC Animals,DEFCF Backyard Animals,Socio-Cognitive,Phrase,Photo,Trained - Repeated
432,DEFCG,D        To play,DE   Book,DEF Theme,DEFC Animals,DEFCG Bugs,Socio-Cognitive,Single Word,Photo,Trained - Repeated
433,DEFD,D        To play,DE   Book,DEF Theme,DEFD Seasonal,,Navigation,Single Word,Photo,Trained
434,DEFDA,D        To play,DE   Book,DEF Theme,DEFD Seasonal,DEFDA Back,Navigation,Single Word,Abstract Sign,Trained - Repeated
435,DEFDB,D        To play,DE   Book,DEF Theme,DEFD Seasonal,DEFDB Spring,Socio-Cognitive,Single Word,Photo,Trained - Repeated
436,DEFDC,D        To play,DE   Book,DEF Theme,DEFD Seasonal,DEFDC Summer,Socio-Cognitive,Single Word,Photo,Trained - Repeated
437,DEFDD,D        To play,DE   Book,DEF Theme,DEFD Seasonal,DEFDD ,,,,
438,DEFDE,D        To play,DE   Book,DEF Theme,DEFD Seasonal,DEFDE Fall,Socio-Cognitive,Single Word,Photo,Trained - Repeated
439,DEFDF,D        To play,DE   Book,DEF Theme,DEFD Seasonal,DEFDF Winter,Socio-Cognitive,Single Word,Photo,Trained - Repeated
440,DEFE,D        To play,DE   Book,DEF Theme,DEFE Holidays,,Navigation,Single Word,Photo,Trained
441,DEFEA,D        To play,DE   Book,DEF Theme,DEFE Holidays,DEFEA Back,Navigation,Single Word,Abstract Sign,Trained - Repeated
442,DEFEB,D        To play,DE   Book,DEF Theme,DEFE Holidays,DEFEB Easter,Socio-Cognitive,Single Word,Photo,Trained - Repeated
443,DEFEC,D        To play,DE   Book,DEF Theme,DEFE Holidays,DEFEC Halloween,Socio-Cognitive,Single Word,Photo,Trained - Repeated
444,DEFED,D        To play,DE   Book,DEF Theme,DEFE Holidays,DEFED Christmas,Socio-Cognitive,Single Word,Drawing,Trained - Repeated
445,DEG,D        To play,DE   Book,DEG Death and Sad,,,Socio-Cognitive,Phrase,Photo,Generalized
446,DF,D        To play,DF Crafts,,,,Socio-Cognitive,Single Word,Drawing,Trained - Repeated
447,DG,D        To play,DG Typing,,,,Socio-Cognitive,Single Word,Photo,Trained
448,DH,D        To play,DH Leaf Wrestle,,,,Socio-Cognitive,Phrase,Photo,Trained
449,DI,D        To play,DI Tablet Games,,,,Navigation,Phrase,Drawing,Trained - Repeated
450,DIA,D        To play,DI Tablet Games,DIA back,,,Navigation,Single Word,Abstract Sign,Trained - Repeated
