,Line Number,Location path code,L1,L2,L3,L4,L5,Category,Training/ Spontaneous,How Discovered?,Utterance: Single word or phrase,Type of Sign,Type of Sign 2,,,,,absolute X,absolute Y,relative X,relative Y,Notes,# boxes on screen,"Cori's double check - yellow are different, white are still the same"
66,66,DCEC,D        To play,DC   Book,DCE Reading Book,DCEC Sentence Book,,Socio-Cognitive,Trained,,Phrase,Abstract Sign,Not-Iconic,DCEC Sentence Book,,,,-1,1,1,0,,3,3
67,67,DE,D        To play,DE   Writing,,,,Socio-Cognitive,Trained,,Single Word,Photo,Iconic,,,,,2,1,2,1,,12,12
68,68,DH,D        To play,DH  Outside Shower,,,,Space-Temporal,Trained,,Phrase,Drawing,Not-Iconic,,,,,-2,-1,-2,-1,leafwrestle in video,12,12
69,69,DJ,D        To play,DJ    Cards,,,,Socio-Cognitive,Trained,,Single Word,Drawing,Iconic,,,,,1,-1,1,-1,,12,12
70,70,DK,D        To play,DK   Crafts,,,,Socio-Cognitive,Trained,,Single Word,Drawing,Not-Iconic,,,,,2,-1,2,-1,,12,12
71,71,DL,D        To play,DL   Toys,,,,Resources,Trained,,Single Word,Photo,Iconic,,,,,3,-1,3,-1,,12,12
72,72,EB,E         Feeling,EB   Happy,,,,Self/State,Trained,,Single Word,Drawing,Not-Iconic,,,,,-2,1,-2,1,,12,12
73,73,EC,E         Feeling,EC    Excited,,,,Self/State,Trained,,Single Word,Drawing,Not-Iconic,,,,,-1,1,-1,1,,12,12
74,74,ED,E         Feeling,ED   Yum,,,,Self/State,Trained,,Single Word,Drawing,Not-Iconic,,,,,1,1,1,1,,12,12
75,75,EF,E         Feeling,EF    Mad,,,,Self/State,Trained,,Single Word,Abstract Sign,Not-Iconic,,,,,3,1,3,1,,12,12
76,76,EH,E         Feeling,EH   Like,,,,Self/State,Trained,,Single Word,Abstract Sign,Not-Iconic,,,,,-2,-1,-2,-1,,12,12
77,77,EI,E         Feeling,EI      No Like,,,,Self/State,Trained,,Phrase,Abstract Sign,Not-Iconic,,,,,-1,-1,-1,-1,,12,12
78,78,EJ,E         Feeling,EJ     Eww,,,,Self/State,Trained,,Single Word,Drawing,Not-Iconic,,,,,1,-1,1,-1,,12,12
